Protocol Name,Sample ID,Sample Data Type,AC50 (uM),CC-v2,Efficacy,Max Resp,Structure,Metabolic Stability [m],Permeability [1e-6 cm/sec],Solubility [ug/ml],Drug Name,Assay Plate ID,Supplier ID,Supplier,Library,Log AC50 (M),Ligand Efficiency,Sample Name,Alias,CC-v1,LEC,BEI,SEI,Data Range,Inf Activity,Hill Coef,PValue,R2,AC50_2 (uM),Log AC50 2,Hill Coef 2,Fraction,Sample ID2,Tox21 ID,Zero Activity,User Flag,Max Read1,Max Data,Min Data,AUC,AUC Fit,Cmpd Plate ID,Comment,Log AC50-,Log AC50+,Inf Activity-,Inf Activity+,Custom 2,Custom 1,NCGC Unique ID,Mapping ID,Drug ID,Assay Name,Hash Key(24),MLSMR Compound Class,Primary MOA,Origin,Solvent,Salt Code,Purity,Purity Rating,MW,PubChem SID,CAS#,Gene Symbol,Gene ID,Tanimoto,Layer Index,Data Points,Mask No,Log Dye Conc,Report Flag,Assay Protocol ID,Mask Flags,Sample Replicate,Plate Replicate,Measure Time,Replicate IDs,Data Mode,Assay Outcome,Phenotype,Activity Score,Confirmation Flag,Control Flag,Conc ID,Experiment Set,Team,Scientist,IC50 (uM),Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Sample Data ID
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00379032-04,activity,,4,0,4.939,COC1=CC=CC2=C1C(=C(/C(=O)N(C)C3=CC=C(C=C3)C(F)(F)F)C(=O)N2C)/O,,,,,,GLXC-90157,Glixx,2020_NPACT_01,,,Tasquinimod,,4,,,,2.579,0,,,,,,,,,,0,,,4.939,2.36,18.528,,,,,,,,,,1NSN27KL1DUB,ONDYALNGTUAJDX,,APP-SARSCoV2_3CLpro-Kales,CTKVNbOoqZVHftDPgF,,S100A9 Inhibitor,,,,,,406.4,363678323,254964-60-8,S100A9,6280,,0,3,,,,162252,,1,1,32:49.0,,,,,,,,297391802,KN12142022,,HTS,,4.129,2.36,4.939,,,,,,,,,,,,,,,,,,,,,,,258335088
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00402352-02,activity,,4,0,3.758,CCCCC(=O)N1C(C2=C(Cl)C=CC=C2)C/3=C(/CCCC3=O)NC4=C1C=CC=C4,,,,,,GLXC-05807,Glixx,2020_NPACT_01,,,RBC10,,4,,,,7.453,0,,,,,,,,,,0,,,11.211,3.758,47.87,,,,,,,,,,UAPAMCP9VNB8,XERBEDAMDXRGFD,,APP-SARSCoV2_3CLpro-Kales,cbKCYvZDcdWeoLqynx,,Transcription factor p65 Inhibitor,,,,,,408.9,363681036,362503-73-9,RELA,5970,,0,3,,,,162252,,1,1,32:49.0,,,,,,,,297393458,KN12142022,,HTS,,11.211,9.113,3.758,,,,,,,,,,,,,,,,,,,,,,,258335089
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00346514-09,activity,,4,0,17.339,CN(C)[C@H]1CCN(CC2=CC=C(C=C2C(F)(F)F)C(=O)NC3=CC=C(C)C(NC4=NC=C(C=N4)C5=CN=CN=C5)=C3)C1,,,,,,B1011,APExBIO,2020_NPACT_01,,,Bafetinib (INNO-406),,4,,,,6.785,0,,,,,,,,,,0,,,17.339,10.554,53.976,,,,,,,,,,,ZOPBZHLJXQAQON,,APP-SARSCoV2_3CLpro-Kales,QvwcJGYrWTvNHSuOLi,,,,,,,,,,887650-05-7,,,,0,3,,,,162252,,1,1,32:49.0,,,,,,,,297391493,KN12142022,,HTS,,10.554,12.472,17.339,,,,,,,,,,,,,,,,,,,,,,,258335090
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00346550-05,activity,,4,-16.22,-6.433,CC1=C(N=C(NC(=O)C2(CC2)C3=CC4=C(OC(F)(F)O4)C=C3)C=C1)C5=CC=CC(=C5)C(O)=O,,,,,,HY-13262,MedChem Express,2020_NPACT_01,,,Lumacaftor,,4,,,,15.817,-6.72,2.588,1,1,,,,,,,9.5,,,9.384,-6.433,32.917,33.026,,,,,,,,,D77H12SA6VK3,UFSKUSARDNFIRC,,APP-SARSCoV2_3CLpro-Kales,BuqylKgvRsfRmBpeEJ,,CFTR Channel Modulator,,,,,,452.4,363677452,936727-05-8,CFTR,,,0,3,0,,,162252,0 0 0,1,1,32:49.0,,,,,,,,297393566,KN12142022,,HTS,,9.384,3.538,-6.433,,,,,,,,,,,,,,,,,,,,,,,258335091
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00386592-01,activity,,4,0,0.983,CC(C)C[C@H](N1C(=O)N(CC2=CC=C(NC(=O)NC3=C(C)C=CC=C3)C=C2)C(C)(C)C1=O)C(=O)N[C@@H](CC(O)=O)C4=CC=CC=C4,,,,,,1616,Axon Medchem,2020_NPACT_01,,,HMR 1031,,4,,,,7.499,0,,,,,,,,,,0,,,8.482,0.983,34.736,,,,,,,,,,3WRS56U4XGRL,OPZVCXYTOHAOHN,,APP-SARSCoV2_3CLpro-Kales,JmWKFZLSjjceEKjdLa,,Integrin alpha-4/beta-1 Antagonist,,,,,,627.7,363680347,479203-71-9,,,,0,3,,,,162252,,1,1,32:49.0,,,,,,,,297390959,KN12142022,,HTS,,8.482,5.968,0.983,,,,,,,,,,,,,,,,,,,,,,,258335092
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00379220-06,activity,,4,0,-5.861,OC(C1=CC(=C(C=C1)C2=CC=C(CN3CCN(CC3)CC4=CC=NC=C4)C=C2)F)(C(F)(F)F)C(F)(F)F,,,,,,GLXC-02761,Glixx,2020_NPACT_01,,,SR-2211,,4,,,,9.752,0,,,,,,,,,,0,,,3.891,-5.861,12.176,,,,,,,,,,FTUP2Y9FQSV1,KVHKWAZUPPBMLL,,APP-SARSCoV2_3CLpro-Kales,bhSBigFOPHOqMZmZWV,,ROR-gamma Inverse Agonist,,,,,,527.5,363678427,1359164-11-6,RORC,,,0,3,,,,162252,,1,1,32:49.0,,,,,,,,297390104,KN12142022,,HTS,,3.891,1.411,-5.861,,,,,,,,,,,,,,,,,,,,,,,258335093
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00188344-08,activity,10,-2.4,-68.16,-65.491,CC1(C)CCC(=C(CN2CCN(CC2)C3=CC=C(C=C3)C(=O)N[S+]([O-])(=O)C4=CC(=C(N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)C=C4)[S+]([O-])(=O)C(F)(F)F)\C1)/C7=CC=C(Cl)C=C7,,,,,,CT-A263,ChemieTek,2020_NPACT_01,-5,,Navitoclax (ABT-263),,-2.2,,,3.719,68.093,-65.16,4.955,1,1,,,,,,,3,,,2.602,-65.491,-29.034,-28.141,,,,,,,,,8C3X1DHX1ZHN,QNERGCCCLASWNA,,APP-SARSCoV2_3CLpro-Kales,OWeorMwvRMWxotvxso,,Bcl-xL Inhibitor,,,,,,974.6,363677118,923564-51-6,BCL2L1,,,0,3,0,,,162252,0 0 0,1,1,32:49.0,,,,,,,,297390389,KN12142022,,HTS,12.723191,2.602,-12.747,-65.491,,,,,,,,,,,,,,,,,,,,,,,258335094
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00386712-01,activity,,4,-12.65,-1.375,CC(C)(CNC(=O)C1=CC=CC(=C1)C2=NOC(=N2)C(F)(F)F)C3=COC(=N3)C4=CC=CC=C4,,,,,,2180,Axon Medchem,2020_NPACT_01,,,TMP-195,,4,,,,12.651,-1.15,4.955,1,0.999,,,,,,,11.5,,,11.276,-1.375,45.284,46.199,,,,,,,,,6U9BZ9MJ6X6L,QTCSXAUJBQZZSN,,APP-SARSCoV2_3CLpro-Kales,TjPwBbeprScbliSFsg,,HDAC Inhibitor,,,,,,456.4,363680410,1314891-22-9,HDAC9,9734,,0,3,0,,,162252,0 0 0,1,1,32:49.0,,,,,,,,297394100,KN12142022,,HTS,,11.276,8.371,-1.375,,,,,,,,,,,,,,,,,,,,,,,258335095
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00370884-01,activity,,4,-23.531,-17.109,CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C3(OCCO3)C4=CC=C(C=C4)C(O)=O,,,,,,3411,Tocris,2020_NPACT_01,,,SR 11237,,4,,,,23.145,-17.531,3.192,1,1,,,,,,,6,,,6.036,-17.109,12.501,12.165,,,,,,,,,RA7BDN8NP6BK,ZZUKALQMHNSWTK,,APP-SARSCoV2_3CLpro-Kales,FaRgWCzpsbrNkoIblQ,,Retinoid X receptor beta Agonist,,,,,,380.5,363677910,3411,,,,0,3,0,,,162252,0 0 0,1,1,32:49.0,,,,,,,,297391079,KN12142022,,HTS,,6.036,-1.807,-17.109,,,,,,,,,,,,,,,,,,,,,,,258335096
APP-SARSCoV2-PLpro-p6-AMC-BiochemAssay-NPACT,NCGC00343986-02,activity,,4,0,6.8,COC1=CC2=C(C=C1OC)C3=C(C2)C(=N[NH]3)NC4=CC(=CC=C4)F,,,,,,CD0165,Chemdea,2020_NPACT_01,,,PDGF receptor tyrosine kinase inhibitor IV,,4,,,,1.032,0,,,,,,,,,,0,,,7.832,6.8,36.291,,,,,,,,,,Y3GHGCL8KUDK,ZDNURMVOKAERHZ,,APP-SARSCoV2_3CLpro-Kales,zXWXxQRmDmiSoYVRiG,,Platelet-derived growth factor receptor beta Inhibitor,,,,,,325.3,363677319,627518-40-5,,,,0,3,,,,162252,,1,1,32:49.0,,,,,,,,297391199,KN12142022,,HTS,,7.818,7.832,6.8,,,,,,,,,,,,,,,,,,,,,,,258335097
